Vertex Idx	Current Accumulated Length (km)
30	 	0
29	 	1.227660
28	 	3.690440
27	 	4.045710
26	 	5.076030
25	 	5.712570
24	 	6.677470
23	 	7.711680
22	 	8.709090
21	 	9.420400
20	 	10.500800
19	 	11.402360
18	 	12.949620
17	 	14.021100
16	 	16.788060
15	 	18.031850
14	 	18.837840
13	 	21.521430
12	 	22.872430
11	 	25.280450
10	 	26.723290
9	 	27.942370
37	 	28.259120
38	 	29.771740
39	 	32.925440
352	 	34.221730
351	 	36.615280
350	 	38.402350
349	 	41.504220
348	 	42.733790
347	 	46.466820
353	 	46.672800
354	 	47.247190
407	 	47.896890
408	 	49.274950
409	 	51.797570
410	 	54.542700
411	 	55.217390
412	 	56.360720
413	 	61.198230
414	 	68.160650
415	 	69.381860
416	 	72.540900
417	 	75.154290
418	 	75.447660
419	 	76.543510
420	 	79.172710
421	 	82.531390
422	 	84.943920
423	 	85.943940
424	 	87.030690
425	 	87.803020
426	 	89.105010
427	 	90.471950
428	 	91.102910
429	 	92.954680
430	 	93.836610
431	 	94.268740
432	 	95.266240
433	 	95.897440
434	 	96.440220
297	 	100.020070
258	 	100.435380
336	 	101.117500
335	 	105.731850
334	 	107.186970
333	 	107.811430
332	 	109.365480
331	 	111.016260
330	 	111.486830
329	 	111.809010
328	 	113.727080
327	 	117.027760
326	 	120.907180
325	 	124.182720
315	 	125.438220
627	 	125.792810
628	 	126.890440
629	 	127.814050
630	 	129.772100
631	 	132.622330
632	 	134.967030
633	 	137.929910
634	 	139.341530
635	 	139.408570
636	 	141.274560
637	 	141.901810
638	 	142.910770
639	 	144.106400
640	 	145.742810
641	 	150.602160
642	 	152.969490
592	 	153.295050
593	 	154.382420
594	 	155.513940
595	 	155.991540
596	 	157.881690
597	 	158.623320
598	 	159.249520
599	 	161.064850
600	 	162.826210
601	 	163.390630
602	 	164.486720
603	 	167.260130
604	 	167.450730
605	 	168.703450
606	 	169.703250
607	 	171.864010
608	 	173.769420
609	 	175.682390
610	 	176.478050
611	 	176.985660
612	 	178.535700
613	 	178.967920
614	 	180.595320
615	 	181.222460
616	 	184.361620
617	 	185.377740
618	 	186.437530
619	 	189.746830
620	 	190.342000
621	 	190.953720
622	 	191.700860
623	 	192.272100
624	 	193.315670
625	 	194.169540
626	 	195.184680
388	 	196.889540
541	 	198.207300
540	 	199.544240
539	 	201.038860
538	 	203.912430
537	 	205.722180
536	 	206.747010
535	 	207.240040
534	 	207.955730
533	 	209.763140
532	 	210.012830
531	 	211.059530
530	 	212.285730
529	 	213.403100
528	 	215.891110
527	 	218.748060
526	 	220.093900
525	 	221.139430
524	 	221.757530
523	 	222.737950
480	 	223.718440
479	 	229.653950
478	 	230.828460
457	 	231.249470
456	 	231.669030
455	 	233.908920
454	 	235.605510
453	 	237.333560
452	 	237.990130
451	 	238.462740
450	 	241.448160
449	 	242.315000
448	 	244.651870
447	 	245.567390
446	 	246.340110
445	 	247.943360
444	 	249.359610
443	 	250.934070
442	 	251.962360
441	 	252.154110
440	 	253.581590
439	 	255.026690
438	 	258.519220
437	 	261.310490
436	 	262.437480
435	 	264.749380
58	 	265.919840
57	 	268.216810
56	 	269.596580
55	 	270.518430
54	 	270.683920
53	 	271.955930
52	 	274.446490
51	 	275.280670
50	 	277.579390

 total length:	277.579390
