Vertex Idx	Current Accumulated Length (km)
200	 	0
201	 	0.656680
202	 	2.428020
203	 	3.613710
83	 	4.259890
84	 	4.655200
85	 	6.219020
86	 	8.254340
87	 	9.803600
88	 	11.281760
89	 	12.104640
90	 	12.845660
91	 	13.358920
92	 	15.660800
93	 	17.149710
94	 	18.218130
95	 	20.020420
96	 	20.527330
97	 	21.561760
98	 	22.602610
82	 	24.724010
339	 	26.211350
340	 	27.309940
341	 	29.141280
342	 	29.770400
343	 	30.987120
344	 	31.749200
345	 	34.805480
346	 	36.704260
387	 	38.810400
469	 	39.754740
470	 	40.670880
516	 	42.528770
517	 	43.734670
518	 	45.514040
519	 	47.493980
520	 	50.850660
521	 	51.283270
522	 	51.697180
542	 	52.182320
543	 	52.650000
868	 	53.261400
869	 	56.453290
870	 	65.632100
871	 	66.632610
872	 	68.711360
873	 	72.307490
874	 	74.302000
914	 	76.986550
915	 	77.866920
916	 	79.664690
913	 	81.002810
1027	 	83.308860
1028	 	84.314850
1029	 	94.980810
1030	 	95.240810
1031	 	96.707670
1026	 	97.092600
1032	 	97.947600
1153	 	98.921190
1154	 	99.807720
1155	 	100.469460
1156	 	102.448640
1157	 	105.200560
1158	 	106.600570
1159	 	107.768470
1160	 	108.691220
1161	 	110.039670
1162	 	111.898130
1163	 	112.839060
1168	 	113.981540
1169	 	114.180190
1170	 	117.734830
1171	 	122.585540
1172	 	127.715430
1173	 	127.926950
1108	 	131.506960
1164	 	133.315070
1165	 	137.341040
1166	 	138.544170
1167	 	140.267010
1214	 	141.238040
1215	 	143.655250
1216	 	145.325860
1217	 	146.629220
1218	 	148.198520
1219	 	150.500860
1220	 	151.182490
1221	 	153.340490
1222	 	154.235300
1223	 	155.386370
1224	 	158.853180
1225	 	159.476690
1226	 	160.986830
1227	 	162.400680
1228	 	165.091280
1229	 	166.488540
1230	 	168.184170
1231	 	169.381280
1232	 	170.487490
1233	 	171.558550
1234	 	172.194480
1235	 	173.547710
1236	 	174.928520
1237	 	175.875750
1238	 	177.076370
1239	 	179.259160
1240	 	180.202600
1241	 	182.133070
1242	 	183.961590
1243	 	185.382070
1244	 	187.566750
1245	 	188.691180
1246	 	190.710610
1247	 	193.099350
1248	 	194.812820
1249	 	196.085560
1250	 	196.139460
1251	 	197.239200
1252	 	198.356590
1253	 	199.905450
1254	 	201.896990
1255	 	206.120160
1256	 	206.985260
1257	 	209.571630
1258	 	210.049100
1259	 	210.703720
1260	 	211.497280
1261	 	212.524710
1262	 	215.089090
1263	 	215.991230
1264	 	217.084480
1265	 	217.515790
1266	 	221.173340
1267	 	222.537090
1268	 	223.997190
1269	 	224.949830
1270	 	226.086060
1271	 	227.938400
1272	 	229.086910
1198	 	229.320420
1199	 	237.769420
1200	 	239.376470
1201	 	240.963310
1202	 	243.302200
1203	 	244.300730
1204	 	246.855180
1205	 	248.275490
1206	 	249.730540
1207	 	250.844860
1208	 	251.914420
1209	 	253.917740
1210	 	256.047240
1211	 	257.274890
1212	 	257.358520
1213	 	260.604550
890	 	262.048080
891	 	264.293590
892	 	265.602190
893	 	268.274590
894	 	273.616210
895	 	275.934160
896	 	276.003660
897	 	277.298910
898	 	278.422160
899	 	279.614890
900	 	281.770070
901	 	284.487100
826	 	285.466210
845	 	286.297700
846	 	287.439220
847	 	289.815260
848	 	291.701350
849	 	292.087870
850	 	292.626200
852	 	292.896240
851	 	293.786560
825	 	294.166360
824	 	298.706140
823	 	301.288470
822	 	304.355620
674	 	304.806210
749	 	305.215720
748	 	306.958230
747	 	307.951600
746	 	309.992220
745	 	311.943460
744	 	313.698640
743	 	314.873640
742	 	315.209370
741	 	315.906890
740	 	319.206940
739	 	320.457570
738	 	322.991020
737	 	324.058760
736	 	325.496160
726	 	328.824920
727	 	329.649560
728	 	334.189410
729	 	335.845870
730	 	336.747830
731	 	338.961590
732	 	340.613170
733	 	341.408200
734	 	341.786050
735	 	342.809850
515	 	343.613650
514	 	343.897180
513	 	344.760440
512	 	345.470070
511	 	349.406300
510	 	353.047710
509	 	357.458620
508	 	357.884340
507	 	361.255680
506	 	362.840680
505	 	364.395860
504	 	367.044710
503	 	367.656360
502	 	368.298910
501	 	370.046110
500	 	370.811560

 total length:	370.811560
