Vertex Idx	Current Accumulated Length (km)
1	 	0
0	 	0.168120
6	 	0.662330
5	 	1.238380
8	 	2.240740
298	 	2.689930
299	 	5.602390
300	 	8.912630
301	 	11.808260
302	 	12.523720
303	 	14.380470
304	 	14.722760
305	 	16.203240
306	 	17.249980
307	 	18.955240
308	 	20.617830
309	 	22.388510
310	 	27.590840
311	 	28.332750
312	 	29.196620
313	 	30.187590
314	 	31.093940
315	 	32.677770
627	 	33.032360
628	 	34.129990
629	 	35.053600
630	 	37.011650
631	 	39.861880
632	 	42.206580
633	 	45.169460
634	 	46.581080
635	 	46.648120
636	 	48.514110
637	 	49.141360
638	 	50.150320
639	 	51.345950
640	 	52.982360
641	 	57.841710
642	 	60.209040
592	 	60.534600
1083	 	62.788070
1084	 	64.378060
1085	 	65.231430
1086	 	67.359620
1087	 	69.090040
1088	 	69.966810
1089	 	73.337630
1090	 	74.165610
1091	 	74.514670
1092	 	75.453620
1093	 	76.903140
1094	 	80.259880
1095	 	81.388770
1096	 	82.073640
1097	 	82.647760
1098	 	84.572110
1099	 	85.666050
1100	 	86.416950
1101	 	86.987780
1102	 	87.851920
1103	 	88.428220
1104	 	88.490330
1105	 	91.493820
1106	 	95.425460
1107	 	97.602410
1108	 	100.691250
1164	 	102.499360
1165	 	106.525330
1166	 	107.728460
1167	 	109.451300
1567	 	111.099630
1568	 	114.366680
1569	 	115.947110
1570	 	116.927480
1571	 	118.166480
1572	 	119.337950
1573	 	122.086000
1574	 	123.411140
1575	 	125.269310
1576	 	127.381120
1577	 	128.673920
1578	 	131.131140
1579	 	133.729660
1580	 	137.381590
1581	 	137.928720
1582	 	139.333250
1583	 	143.883590
1584	 	144.792270
1585	 	145.971370
1586	 	148.438140
1587	 	150.106550
1588	 	151.358470
1552	 	154.633360
1897	 	159.479650
1898	 	162.538510
1899	 	164.928270
1900	 	168.559610
1901	 	170.398960
1902	 	172.637860
1903	 	177.218470
1904	 	179.428220
1905	 	181.607720
1906	 	182.568210
1907	 	184.079640
1908	 	184.750130
1909	 	186.057250
1910	 	188.195280
1911	 	189.662560
1912	 	190.968300
1979	 	192.605790
1980	 	193.049100
1981	 	193.336110
1982	 	195.405490
1983	 	195.986410
1984	 	196.327610
1985	 	199.955270
1986	 	202.110030
1987	 	203.745380
1988	 	204.926450
1989	 	205.905760
1990	 	212.447260
1991	 	213.634980
1992	 	215.384000
1949	 	217.154400
2215	 	218.497190
2216	 	223.290530
2217	 	223.950530
2218	 	227.190960
2219	 	229.179640
2220	 	230.328670
2221	 	231.110070
2222	 	232.727890
2174	 	234.218450
2518	 	240.826030
2519	 	246.520790
2520	 	248.166850
2521	 	248.710620
2522	 	252.092800
2523	 	254.699020
2524	 	257.175810
2525	 	258.951660
2526	 	261.042300
2527	 	262.105530
2514	 	262.901210
2515	 	265.181130
2516	 	268.969440
2517	 	269.614890
2513	 	271.043280
2512	 	272.112970
2532	 	273.098280
2533	 	274.021740
2847	 	274.995060
2848	 	275.618410
2849	 	276.274030
2850	 	280.076180
2851	 	281.730640
2852	 	283.970210
2853	 	286.379700
2854	 	286.768360
2855	 	287.981790
2856	 	288.426370
2857	 	290.270250
2858	 	293.657980
2859	 	294.496650
2860	 	295.446020
3186	 	296.687540
3185	 	298.851150
3184	 	299.884790
3183	 	300.905100
3182	 	301.344450
3181	 	301.415100
3180	 	302.029430
3179	 	303.810200
3178	 	304.914400
3177	 	306.471800
3176	 	309.581700
3175	 	310.429820
3174	 	310.793430
3173	 	311.982960
3172	 	314.019750
3171	 	315.311390
3425	 	319.805980
3426	 	320.350090
3427	 	321.388580
3428	 	322.808020
3429	 	323.699300
3430	 	324.813790
3431	 	325.933530
3432	 	326.518310
3433	 	327.164580
3434	 	329.098930
3435	 	329.258880
3436	 	331.569210
3437	 	332.078210
3438	 	334.980090
3439	 	337.072190
3440	 	338.467080
3441	 	340.341940
3442	 	341.678060
3443	 	342.088420
3444	 	342.764460
3445	 	343.200710
3446	 	344.226820
3447	 	347.365940
3630	 	349.620860
3631	 	350.453250
3632	 	351.661690
3633	 	353.655280
3634	 	354.837230
3635	 	355.167560
3636	 	356.549550
3637	 	357.617850
3638	 	359.656440
3639	 	360.729090
3640	 	362.095650
3641	 	364.068120
3642	 	366.510890
3643	 	368.208150
3644	 	368.447230
3645	 	369.146550
3646	 	370.694990
3647	 	372.112160
3648	 	373.692510
3674	 	374.244900
3675	 	374.902690
3676	 	375.433780
3677	 	376.044930
3678	 	376.789600
3679	 	378.069070
3673	 	378.940710
3672	 	378.995630
3857	 	379.483030
3858	 	381.631470
3859	 	384.029410
3860	 	387.245020
3861	 	388.682040
3862	 	389.276790
3863	 	390.541830
3782	 	393.038620
4137	 	394.870420
4138	 	395.771230
4139	 	396.824910
4140	 	397.750610
4141	 	399.103260
4142	 	399.869420
4143	 	401.312390
4144	 	402.962620
4145	 	403.339650
4146	 	404.995870
4147	 	405.748620
4148	 	406.443460
4149	 	408.220870
4150	 	409.874070
4151	 	411.387440
4152	 	412.501760
4153	 	413.375730
4154	 	414.897290
4155	 	415.722640
4156	 	417.218410
4157	 	418.190610
4158	 	418.679570
4159	 	420.045550
4160	 	420.494790
4647	 	420.854450
4646	 	421.715610
4645	 	422.980500
4644	 	423.624810
4643	 	424.267750
4642	 	428.453930
4641	 	429.658940
4640	 	430.182720
4639	 	431.123000
4638	 	435.083540
4637	 	436.988440
4636	 	438.384780
4635	 	439.868180
4634	 	440.966280
4633	 	441.291240
4632	 	441.596050
4631	 	442.148530
4630	 	445.270790
4629	 	455.044280
4628	 	458.965950
4627	 	459.877630
4626	 	460.754960
4625	 	461.519790
4624	 	462.383760
4650	 	463.309220
4651	 	464.379320
4652	 	464.850980
4653	 	465.927380
5170	 	469.071690
5171	 	470.237970
5172	 	471.321570
5173	 	472.561220
5174	 	474.249890
5175	 	476.676430
5176	 	477.732120
5177	 	479.134070
5178	 	480.581570
5179	 	482.778340
5180	 	484.273600
5181	 	485.599520
5182	 	486.308830
5157	 	486.724420
5696	 	486.939190
5697	 	488.110340
5698	 	490.139130
5699	 	490.843580
5700	 	491.737820
5701	 	492.201840
5702	 	493.505270
5703	 	495.604150
5704	 	497.125020
5705	 	498.652980
5706	 	499.888070
5707	 	500.193390
5708	 	501.306920
5709	 	502.153580
5710	 	503.278490
5711	 	504.527020
5712	 	505.767070
5713	 	506.643770
5714	 	507.899380
5715	 	509.547700
5716	 	511.971000
5717	 	514.013800
5718	 	514.855380
5719	 	516.485120
5720	 	517.684020
5721	 	518.654160
5722	 	520.730380
5723	 	521.640990
5724	 	522.792770
5725	 	523.807700
5695	 	525.155780
5772	 	526.913160
5771	 	528.385730
5770	 	531.232900
5769	 	531.862270
5951	 	535.378760
5952	 	537.620950
5953	 	538.205750
5962	 	538.545670
5963	 	538.833050
5964	 	539.569880
5965	 	540.157930
5966	 	541.448910
5967	 	542.345960
5968	 	544.037020
5969	 	545.164240
5970	 	545.403850
5971	 	546.496640
5972	 	546.675910
6023	 	547.097810
6022	 	547.914630
6021	 	548.355350
6020	 	549.596380
6019	 	549.849740
6018	 	550.949050
6017	 	551.188200
6016	 	552.895700
6015	 	553.755120
6014	 	555.184800
6013	 	556.178320
6012	 	557.155930
5961	 	557.754980
6350	 	558.891020
6351	 	560.623330
6352	 	563.637980
6353	 	565.749300
6354	 	568.341520
6355	 	568.853270
6356	 	569.189930
6357	 	570.197600
6358	 	570.866320
6359	 	571.532040
6360	 	572.872840
6361	 	573.238950
6362	 	575.136670
6363	 	575.558250
6451	 	575.898970
6450	 	577.992220
6449	 	579.800610
6448	 	580.799360
6447	 	581.996350
6446	 	582.934440
6445	 	584.012460
6444	 	584.670970
6443	 	585.916890
6442	 	587.059160
6441	 	588.570220
6440	 	589.007010
6439	 	589.543540
6438	 	590.297670
6437	 	591.413180
6436	 	591.951100
6435	 	593.470860
6434	 	594.815860
6433	 	595.553320
6432	 	596.622420
6427	 	597.713070
7118	 	599.315410
7119	 	602.218460
7120	 	603.064940
7121	 	605.850360
7122	 	606.390790
7123	 	606.939360
7124	 	607.631040
7125	 	611.627090
7126	 	612.700050
7127	 	613.375820
7128	 	614.919830
7129	 	615.259440
7130	 	618.055870
7131	 	620.526500
7132	 	625.249770
7133	 	626.922720
7134	 	629.192830
7135	 	631.239510
7136	 	632.229100
7137	 	633.640850
7286	 	634.687990
7285	 	635.446630
7284	 	637.328550
7283	 	645.074830
7282	 	645.715620
7281	 	647.734560
7280	 	650.845240
7279	 	652.601050
7278	 	654.347740
7277	 	655.483770
7276	 	656.346910
7275	 	657.346960
7274	 	658.286930
7273	 	660.211510
7272	 	660.884880
7446	 	661.306470
7445	 	662.131400
7444	 	664.113690
7443	 	665.337750
7442	 	666.146020
7441	 	669.345620
7440	 	670.517880
7845	 	676.253160
7844	 	677.219850
7843	 	678.835860
7842	 	680.951820
7841	 	681.226060
7840	 	681.477920
7839	 	681.887860
7838	 	682.571910
7837	 	682.855490
7836	 	683.049400
7835	 	683.324900
7834	 	683.510260
7833	 	684.504680
7832	 	685.342670
7831	 	685.624640
7830	 	686.469100
7829	 	688.023480
8109	 	691.494950
8110	 	692.847270
8111	 	695.590310
8112	 	697.999980
8113	 	698.346280
8114	 	699.281080
8211	 	700.000100
8212	 	700.900550
8213	 	706.962890
8838	 	711.097720
8837	 	713.547270
8836	 	714.957110
8835	 	716.073420
8834	 	717.573610
8833	 	718.503770
8832	 	719.605720
8831	 	720.758260
8830	 	722.649270
8829	 	724.682620
8828	 	725.184680
8827	 	725.959070
8826	 	728.602460
8825	 	735.977330
8865	 	737.561310
8864	 	739.558830
9366	 	740.556490
9365	 	741.787640
9364	 	742.855160
9363	 	746.575400
9362	 	747.816860
9361	 	748.684110
9360	 	749.604520
9359	 	752.460950
9358	 	754.021250
9357	 	755.705810
9356	 	756.087040
9355	 	757.448550
9354	 	758.166150
9353	 	759.589350
9352	 	760.278010
9351	 	761.107680
9350	 	762.248270
9349	 	763.619020
9348	 	764.539530
9347	 	765.756100
9346	 	766.398350
9345	 	767.676190
9344	 	768.185670
9343	 	768.990940
9342	 	770.850900
9965	 	772.151220
9966	 	773.456000
9967	 	774.401690
9968	 	775.311260
9969	 	776.206740
9970	 	777.095070
9971	 	778.398390
9972	 	778.696490
9973	 	780.456150
9974	 	780.972060
9975	 	781.632430
9976	 	782.046050
9977	 	782.936930
9978	 	783.198620
9979	 	783.495080
9980	 	785.497700
9981	 	786.613380
9982	 	787.926840
9983	 	789.163390
9984	 	790.908820
9985	 	791.457000
9986	 	791.691260
9987	 	792.692240
9988	 	794.707400
9989	 	796.160760
9990	 	797.538280
9991	 	798.088020
9992	 	799.280560
9993	 	799.508600
9994	 	800.211540
9995	 	800.932400
9996	 	801.947450
9997	 	802.564300
9998	 	802.779820
9999	 	803.350020

 total length:	803.350020
