Vertex Idx	Current Accumulated Length (km)
300	 	0
301	 	2.895630
302	 	3.611090
303	 	5.467840
304	 	5.810130
305	 	7.290610
306	 	8.337350
307	 	10.042610
308	 	11.705200
309	 	13.475880
310	 	18.678210
311	 	19.420120
312	 	20.283990
313	 	21.274960
314	 	22.181310
315	 	23.765140
627	 	24.119730
628	 	25.217360
629	 	26.140970
630	 	28.099020
631	 	30.949250
632	 	33.293950
633	 	36.256830
634	 	37.668450
635	 	37.735490
636	 	39.601480
637	 	40.228730
638	 	41.237690
639	 	42.433320
640	 	44.069730
641	 	48.929080
642	 	51.296410
592	 	51.621970
593	 	52.709340
594	 	53.840860
595	 	54.318460
596	 	56.208610
597	 	56.950240
598	 	57.576440
599	 	59.391770
600	 	61.153130
601	 	61.717550
602	 	62.813640
603	 	65.587050
604	 	65.777650
605	 	67.030370
606	 	68.030170
607	 	70.190930
608	 	72.096340
609	 	74.009310
610	 	74.804970
611	 	75.312580
612	 	76.862620
613	 	77.294840
614	 	78.922240
615	 	79.549380
616	 	82.688540
617	 	83.704660
618	 	84.764450
619	 	88.073750
620	 	88.668920
621	 	89.280640
622	 	90.027780
623	 	90.599020
624	 	91.642590
625	 	92.496460
626	 	93.511600
388	 	95.216460
541	 	96.534220
540	 	97.871160
539	 	99.365780
538	 	102.239350
537	 	104.049100
536	 	105.073930
535	 	105.566960
534	 	106.282650
533	 	108.090060
532	 	108.339750
531	 	109.386450
530	 	110.612650
529	 	111.730020
528	 	114.218030
527	 	117.074980
526	 	118.420820
525	 	119.466350
524	 	120.084450
523	 	121.064870
480	 	122.045360
902	 	130.539700
903	 	133.124810
904	 	136.020290
905	 	137.798770
906	 	149.335950
907	 	149.970960
908	 	152.084120
909	 	153.558970
910	 	158.825520
911	 	160.599020
912	 	162.251060
890	 	162.910470
891	 	165.155980
892	 	166.464580
893	 	169.136980
894	 	174.478600
895	 	176.796550
896	 	176.866050
897	 	178.161300
898	 	179.284550
899	 	180.477280
900	 	182.632460

 total length:	182.632460
