Vertex Idx	Current Accumulated Length (km)
90	 	0
91	 	0.513260
92	 	2.815140
93	 	4.304050
94	 	5.372470
95	 	7.174760
96	 	7.681670
97	 	8.716100
98	 	9.756950
82	 	11.878350
81	 	12.543380
39	 	13.872800
38	 	17.026500
37	 	18.539120
9	 	18.855870
10	 	20.074950
11	 	21.517790
12	 	23.925810
13	 	25.276810
14	 	27.960400
15	 	28.766390
16	 	30.010180
17	 	32.777140
18	 	33.848620
19	 	35.395880
20	 	36.297440
21	 	37.377840
22	 	38.089150
23	 	39.086560
24	 	40.120770
25	 	41.085670
26	 	41.722210
27	 	42.752530
28	 	43.107800
29	 	45.570580
30	 	46.798240

 total length:	46.798240
