Vertex Idx	Current Accumulated Length (km)
222	 	0
223	 	1.071080
224	 	2.738440
225	 	3.727830
226	 	4.630040
227	 	5.047310
228	 	7.311890
229	 	7.800920
230	 	8.135130
231	 	9.024480
232	 	11.346250
233	 	12.404480
234	 	15.088290
235	 	18.239730
236	 	18.602480
237	 	19.202310
238	 	20.229940
239	 	22.113070
240	 	23.567100
241	 	27.427470
643	 	28.063630
644	 	28.882810
645	 	30.069790
646	 	33.247440
647	 	34.223870
648	 	36.848060
649	 	38.190520
650	 	39.036070
651	 	40.384590
652	 	41.408350
653	 	41.928080
654	 	43.150560
655	 	43.765200
656	 	45.507880
657	 	46.467360
658	 	49.547340
659	 	50.168560
660	 	51.934740
661	 	52.635910
662	 	53.887020
663	 	55.387030
664	 	55.517920
665	 	56.880360
666	 	59.219300

 total length:	59.219300
