Vertex Idx	Current Accumulated Length (km)
200	 	0
201	 	0.656680
202	 	2.428020
203	 	3.613710
83	 	4.259890
84	 	4.655200
85	 	6.219020
86	 	8.254340
87	 	9.803600
88	 	11.281760
89	 	12.104640
90	 	12.845660
91	 	13.358920
92	 	15.660800
93	 	17.149710
94	 	18.218130
95	 	20.020420
96	 	20.527330
97	 	21.561760
98	 	22.602610
82	 	24.724010
339	 	26.211350
340	 	27.309940
341	 	29.141280
342	 	29.770400
343	 	30.987120
344	 	31.749200
345	 	34.805480
346	 	36.704260
353	 	37.036850
354	 	37.611240
407	 	38.260940
408	 	39.639000
409	 	42.161620
410	 	44.906750
411	 	45.581440
412	 	46.724770
413	 	51.562280
414	 	58.524700
415	 	59.745910
416	 	62.904950
417	 	65.518340
418	 	65.811710
419	 	66.907560
420	 	69.536760
421	 	72.895440
422	 	75.307970
423	 	76.307990
424	 	77.394740
425	 	78.167070
426	 	79.469060
427	 	80.836000
428	 	81.466960
429	 	83.318730
430	 	84.200660
431	 	84.632790
432	 	85.630290
433	 	86.261490
434	 	86.804270
297	 	90.384120
258	 	90.799430
336	 	91.481550
335	 	96.095900
334	 	97.551020
333	 	98.175480
332	 	99.729530
331	 	101.380310
330	 	101.850880
329	 	102.173060
328	 	104.091130
327	 	107.391810
326	 	111.271230
325	 	114.546770
315	 	115.802270
627	 	116.156860
628	 	117.254490
629	 	118.178100
630	 	120.136150
631	 	122.986380
632	 	125.331080
633	 	128.293960
634	 	129.705580
635	 	129.772620
636	 	131.638610
637	 	132.265860
638	 	133.274820
639	 	134.470450
640	 	136.106860
641	 	140.966210
642	 	143.333540
592	 	143.659100
593	 	144.746470
594	 	145.877990
595	 	146.355590
596	 	148.245740
597	 	148.987370
598	 	149.613570
599	 	151.428900
600	 	153.190260
601	 	153.754680
602	 	154.850770
603	 	157.624180
604	 	157.814780
605	 	159.067500
606	 	160.067300
607	 	162.228060
608	 	164.133470
609	 	166.046440
610	 	166.842100
611	 	167.349710
612	 	168.899750
613	 	169.331970
614	 	170.959370
615	 	171.586510
616	 	174.725670
617	 	175.741790
618	 	176.801580
619	 	180.110880
620	 	180.706050
621	 	181.317770
622	 	182.064910
623	 	182.636150
624	 	183.679720
625	 	184.533590
626	 	185.548730
388	 	187.253590
541	 	188.571350
540	 	189.908290
539	 	191.402910
538	 	194.276480
537	 	196.086230
536	 	197.111060
535	 	197.604090
534	 	198.319780
533	 	200.127190
532	 	200.376880
531	 	201.423580
530	 	202.649780
529	 	203.767150
528	 	206.255160
527	 	209.112110
526	 	210.457950
525	 	211.503480
524	 	212.121580
523	 	213.102000
480	 	214.082490
902	 	222.576830
903	 	225.161940
904	 	228.057420
905	 	229.835900
906	 	241.373080
907	 	242.008090
908	 	244.121250
909	 	245.596100
910	 	250.862650
911	 	252.636150
912	 	254.288190
890	 	254.947600
891	 	257.193110
892	 	258.501710
893	 	261.174110
894	 	266.515730
895	 	268.833680
896	 	268.903180
897	 	270.198430
898	 	271.321680
899	 	272.514410
900	 	274.669590
901	 	277.386620
826	 	278.365730
845	 	279.197220
846	 	280.338740
847	 	282.714780
848	 	284.600870
849	 	284.987390
850	 	285.525720
852	 	285.795760
851	 	286.686080
825	 	287.065880
824	 	291.605660
823	 	294.187990
822	 	297.255140
674	 	297.705730
749	 	298.115240
748	 	299.857750
747	 	300.851120
746	 	302.891740
745	 	304.842980
744	 	306.598160
743	 	307.773160
742	 	308.108890
741	 	308.806410
740	 	312.106460
739	 	313.357090
738	 	315.890540
737	 	316.958280
736	 	318.395680
726	 	321.724440
727	 	322.549080
728	 	327.088930
729	 	328.745390
730	 	329.647350
731	 	331.861110
732	 	333.512690
733	 	334.307720
734	 	334.685570
735	 	335.709370
515	 	336.513170
514	 	336.796700
513	 	337.659960
512	 	338.369590
511	 	342.305820
510	 	345.947230
509	 	350.358140
508	 	350.783860
507	 	354.155200
506	 	355.740200
505	 	357.295380
504	 	359.944230
503	 	360.555880
502	 	361.198430
501	 	362.945630
500	 	363.711080

 total length:	363.711080
