Vertex Idx	Current Accumulated Length (km)
1000	 	0
1001	 	2.225690
1002	 	3.394710
1003	 	5.605140
1004	 	6.541080
1005	 	7.823160
1006	 	8.428790
1007	 	9.513880
821	 	9.963460
875	 	10.396660
876	 	12.580810
877	 	13.444140
878	 	17.072900
879	 	18.323600
874	 	19.113640
914	 	21.798190
915	 	22.678560
916	 	24.476330
913	 	25.814450
1027	 	28.120500
1028	 	29.126490
1029	 	39.792450
1030	 	40.052450
1031	 	41.519310
1026	 	41.904240
1032	 	42.759240
1726	 	46.372730
1727	 	47.679960
1728	 	49.004340
1729	 	50.404600
1730	 	52.633440
1731	 	55.558500
1732	 	56.732460
1733	 	57.178920
1734	 	59.586100
1735	 	60.997830
1736	 	66.277340
1737	 	67.821610
1738	 	70.711830
1739	 	71.175760
1740	 	73.175980
1741	 	80.686850
1742	 	83.028790
1743	 	84.552190
1744	 	84.691750
1745	 	85.826070
1746	 	86.958760
1747	 	91.147590
1748	 	92.795550
1749	 	93.775780
1750	 	95.258340
1751	 	96.183950
1752	 	97.661880
1753	 	98.658660
1754	 	100.663910
1755	 	102.532450
1756	 	104.714980
1757	 	106.070970
1820	 	106.955940
1821	 	107.773030
1822	 	109.445470
1823	 	109.720300
1824	 	110.281900
1825	 	110.754630
1886	 	110.928740
1887	 	114.619720
2072	 	119.158830
2073	 	121.582650
2074	 	123.265810
2075	 	125.725800
2076	 	126.965060
2077	 	127.854810
2078	 	128.598430
2071	 	129.127850
2086	 	131.924930
2088	 	132.250320
2089	 	132.504480
2090	 	133.241030
2091	 	133.852510
2105	 	134.847260
2104	 	136.810530
2103	 	138.818900
2102	 	140.843300
2101	 	142.947770
2100	 	143.925700
2099	 	144.059630
2098	 	145.838770
2097	 	147.667600
2096	 	148.920840
2095	 	152.054930
2094	 	152.818640
2093	 	155.083670
2092	 	156.552100
1930	 	157.873780
2012	 	158.567080
2011	 	159.657410
2010	 	160.525370
2009	 	162.074150
2008	 	162.687290
2007	 	163.459250
2006	 	164.833320
2005	 	165.755660
2004	 	166.561880
2003	 	167.027380
2002	 	167.529630
2001	 	168.077050
2000	 	168.641010

 total length:	168.641010
